,DPTO,NOMDPTO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,2001,Comuna 01,223620,225878,228137,230395,232654,234912,237171,239429,241688,243946,241711,239446,237182,234945,232752,230647,228649,226784,225064,223509,222147,221001,220077,219380,218916
1,2002,Comuna 02,138156,139551,140947,142342,143737,145133,146528,147923,149319,150714,151727,152769,153847,154910,155952,156936,157856,158668,159365,159940,160364,160609,160673,160551,160235
2,2003,Comuna 03,175381,177153,178924,180695,182467,184238,186009,187780,189552,191323,191533,191745,191956,192162,192364,192560,192748,192928,193096,193255,193403,193537,193657,193764,193857
3,2004,Comuna 04,215358,217533,219708,221883,224058,226233,228408,230583,232758,234933,234161,233376,232590,231813,231054,230324,229632,228989,228397,227866,227405,227024,226721,226504,226371
4,2005,Comuna 05,169861,171577,173292,175008,176723,178439,180154,181870,183585,185301,185996,186696,187397,188089,188764,189417,190034,190615,191156,191642,192077,192449,192755,192995,193172
5,2006,Comuna 06,167794,169489,171183,172878,174573,176267,177962,179657,181351,183046,184859,186701,188542,190349,192129,193839,195460,196984,198391,199667,200798,201764,202557,203170,203612
6,2007,Comuna 07,217104,219297,221489,223682,225875,228067,230260,232453,234645,236838,234527,232191,229847,227532,225268,223091,221032,219111,217354,215773,214402,213262,212364,211718,211328
7,6007,Adolfo Alsina,16245,16354,16462,16571,16679,16788,16896,17005,17113,17222,17232,17243,17253,17264,17274,17284,17294,17305,17314,17324,17334,17344,17353,17362,17371
8,10007,Ambato,4525,4533,4541,4550,4558,4566,4574,4583,4591,4599,4633,4680,4726,4773,4808,4854,4901,4935,4970,5005,5052,5087,5133,5168,5203
9,14007,Calamuchita,45418,46514,47610,48705,49801,50897,51993,53088,54184,55280,56810,58369,59959,61578,63223,64896,66596,68322,70072,71845,73642,75462,77303,79164,81044
10,18007,Bella Vista,35350,35660,35970,36280,36590,36901,37211,37521,37831,38141,38678,39218,39755,40295,40828,41357,41882,42402,42909,43409,43895,44369,44830,45280,45711
11,22007,Almirante Brown,29086,29716,30346,30977,31607,32237,32867,33498,34128,34758,35017,35277,35537,35797,36056,36314,36569,36822,37072,37317,37557,37794,38025,38251,38472
12,26007,Biedma,58677,61397,64118,66838,69558,72279,74999,77719,80440,83160,84661,86181,87728,89302,90901,92527,94180,95857,97558,99284,101032,102806,104601,106419,108258
13,34007,Bermejo,12710,12922,13133,13345,13556,13768,13979,14191,14402,14614,14701,14788,14875,14961,15045,15130,15212,15294,15374,15451,15527,15600,15671,15739,15804
14,38007,Cochinoca,12111,12196,12280,12365,12450,12534,12619,12704,12788,12873,13083,13292,13493,13688,13881,14064,14241,14411,14570,14722,14864,14998,15121,15234,15340
15,42007,Atreuco,10134,10168,10201,10235,10268,10302,10335,10369,10402,10436,10540,10637,10725,10801,10868,10927,10977,11011,11040,11057,11061,11053,11036,11006,10969
16,46007,Arauco,13720,13955,14190,14425,14660,14895,15130,15365,15600,15835,15868,15902,15936,15971,16005,16040,16076,16111,16146,16181,16216,16251,16285,16319,16352
17,50007,Capital,110993,111742,112490,113239,113987,114736,115484,116233,116981,117730,118258,118781,119299,119816,120325,120829,121329,121821,122306,122782,123251,123715,124169,124616,125054
18,54007,Apóstoles,38028,38550,39071,39593,40114,40636,41157,41679,42200,42722,43411,44094,44772,45442,46105,46760,47407,48046,48676,49295,49904,50503,51090,51666,52231
19,58007,Aluminé,6308,6561,6813,7066,7319,7571,7824,8077,8329,8582,8704,8827,8953,9081,9211,9342,9476,9612,9749,9888,10030,10173,10318,10465,10614
20,62007,Adolfo Alsina,50701,51578,52455,53332,54209,55086,55963,56840,57717,58594,59047,59500,59951,60398,60843,61284,61723,62156,62585,63010,63430,63845,64255,64659,65059
